,path
0,0
1,64
2,14
3,10
4,86
5,73
6,55
7,80
8,46
9,52
10,4
11,93
12,22
13,6
14,8
15,61
16,79
17,87
18,13
19,29
20,99
21,11
22,30
23,81
24,45
25,7
26,35
27,42
28,19
29,78
30,92
31,41
32,36
33,44
34,39
35,82
36,62
37,76
38,70
39,53
40,37
41,68
42,40
43,12
44,66
45,28
46,67
47,18
48,60
49,88
50,38
51,5
52,48
53,71
54,91
55,2
56,85
57,23
58,15
59,20
60,24
61,96
62,57
63,1
64,94
65,63
66,59
67,26
68,69
69,47
70,75
71,9
72,17
73,27
74,54
75,56
76,98
77,32
78,16
79,97
80,49
81,31
82,3
83,77
84,33
85,25
86,84
87,65
88,43
89,90
90,95
91,51
92,58
93,21
94,72
95,50
96,74
97,83
98,89
99,34
100,0
101,0
