,path
0,0
1,4
2,5
3,37
4,13
5,55
6,86
7,14
8,52
9,34
10,22
11,99
12,87
13,78
14,60
15,76
16,45
17,81
18,19
19,1
20,68
21,83
22,56
23,98
24,77
25,85
26,92
27,35
28,63
29,24
30,57
31,50
32,25
33,3
34,33
35,74
36,97
37,49
38,54
39,17
40,96
41,69
42,51
43,95
44,94
45,47
46,66
47,67
48,65
49,32
50,16
51,31
52,72
53,9
54,90
55,61
56,8
57,39
58,11
59,42
60,44
61,41
62,38
63,36
64,30
65,53
66,70
67,88
68,28
69,75
70,43
71,79
72,82
73,29
74,64
75,73
76,46
77,80
78,6
79,10
80,93
81,18
82,12
83,62
84,40
85,48
86,84
87,58
88,15
89,20
90,89
91,23
92,2
93,91
94,71
95,27
96,26
97,21
98,59
99,7
100,0
101,0
