,path
0,0
1,10
2,46
3,6
4,12
5,2
6,9
7,98
8,16
9,21
10,24
11,23
12,27
13,28
14,18
15,34
16,64
17,29
18,30
19,7
20,1
21,31
22,32
23,33
24,25
25,54
26,53
27,79
28,52
29,73
30,55
31,80
32,4
33,8
34,67
35,22
36,70
37,14
38,13
39,11
40,37
41,61
42,93
43,60
44,62
45,35
46,20
47,47
48,91
49,17
50,48
51,40
52,41
53,38
54,36
55,5
56,39
57,44
58,45
59,42
60,19
61,58
62,43
63,65
64,66
65,83
66,15
67,59
68,94
69,57
70,63
71,26
72,49
73,74
74,50
75,3
76,56
77,72
78,77
79,95
80,51
81,68
82,92
83,69
84,97
85,75
86,78
87,82
88,84
89,89
90,85
91,71
92,76
93,87
94,88
95,90
96,96
97,81
98,86
99,99
100,0
101,0
