,path
0,0
1,5
2,43
3,44
4,25
5,34
6,91
7,47
8,18
9,93
10,37
11,6
12,10
13,13
14,86
15,55
16,14
17,94
18,87
19,19
20,49
21,81
22,3
23,36
24,40
25,78
26,22
27,96
28,9
29,50
30,63
31,17
32,32
33,65
34,45
35,60
36,52
37,23
38,85
39,69
40,51
41,42
42,90
43,21
44,57
45,61
46,27
47,15
48,30
49,28
50,75
51,41
52,38
53,84
54,35
55,99
56,64
57,39
58,73
59,4
60,95
61,80
62,16
63,72
64,48
65,67
66,58
67,29
68,88
69,62
70,82
71,20
72,92
73,68
74,56
75,2
76,59
77,24
78,71
79,83
80,97
81,89
82,77
83,26
84,11
85,33
86,79
87,98
88,74
89,54
90,46
91,12
92,70
93,76
94,31
95,53
96,8
97,7
98,1
99,66
100,0
101,0
