,path
0,0
1,1
2,35
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,36
11,11
12,12
13,78
14,14
15,15
16,16
17,77
18,18
19,19
20,20
21,21
22,25
23,59
24,24
25,22
26,76
27,27
28,28
29,79
30,80
31,31
32,32
33,33
34,2
35,34
36,41
37,37
38,38
39,39
40,40
41,10
42,42
43,96
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,30
53,53
54,62
55,99
56,56
57,57
58,58
59,61
60,60
61,23
62,68
63,63
64,64
65,65
66,66
67,67
68,54
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,26
77,17
78,13
79,29
80,86
81,81
82,82
83,83
84,84
85,85
86,52
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,43
97,97
98,98
99,55
100,0
101,0
